voter,role,country,gender,voter_url
Helena Koder,director,Slovenia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/969
Ulrich Köhler,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1188
Eran Kolirin,director,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/939
Baltasar Komákur,director,Iceland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/894
Andrey Konchalovsky,director,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/871
Martin Koolhoven,director,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1056
Peter Kosminsky,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1121
Andrew Kötting,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/869
Damjan Kozole,director,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/921
Jurgis Krasons,director,Latvia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1016
Tony Krawitz,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1186
Justin Kurzel,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1017
Stanley Kwan,director,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1175
Richard Kwietniowski,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1144
Bruce LaBruce,director,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/903
Isaki Lacuesta,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/977
Nadav Lapid,director,Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1085
Pablo Larraín,director,Chile,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1102
Joe Lawlor,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/997
Ray Lawrence,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1139
Isild Le Besco,director,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/979
Malcolm Le Grice,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1043
Mike Leigh,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1075
José Luis Torres Leiva,director,Chile,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1006
David Leland,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/926
Pierre Leon,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1131
Nanouk Leopold,director,Netherlands,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1088
Richard Lester,director,US/UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1145
Jørgen Leth,director,Denmark,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1004
Ying Liang,director,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1201
Kevin MacDonald,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1022
Tiago Mata Machado,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1185
Gillies Mackinnon,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/957
Guy Maddin,director,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/963
Shinozaki Makoto,director,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1168
Milcho Manchevski,director,Macedonia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1077
Michael Mann,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1069
Måns Månsson,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1048
Pia Marais,director,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1130
Karl Markovics,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1018
James Marsh,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/980
Raya Martin,director,Philippines,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1140
Khalo Matabane,director,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1024
John Michael McDonagh,director,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1001
Martin McDonagh,director,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1057
John McNaughton,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1000
Steve McQueen,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1176
Fernando Meirelles,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/947
Sam Mendes,director,UK/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1157
Josué Méndez,director,Peru,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1010
Kleber Mendonça Filho,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1026
Jiri Menzel,director,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/994
Saul Metzstein,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1163
Roger Michell,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1151
David Michôd,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/927
Luis Miñarro,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1040
Mingchuam Huang,director,Taiwan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1078
Tsai Ming-Liang,director,Taiwan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1187
Santiago Mitre,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1160
Christine Molloy,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/913
Lukas Moodysson,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1041
Carol Morley,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/906
Samantha Morton,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1158
Bahman Motamedian,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/893
Greg Mottola,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/960
Manuel Mozos,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1050
Matthias Müller,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1062
Marc Munden,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1051
Celina Murga,director,Argentina,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/908
Raphael Nadjari,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1137
Najwa Najjar,director,Palestine/Jordan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1087
Gerardo Naranjo,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/955
Shirin Neshat,director,Iran/US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1169
Daniel Nettheim,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/922
Mike Newell,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1076
Jeff Nichols,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/991
Angelina Nikonova,director,Russia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/874
Gaspar Noé,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/953
Garin Nugroho,director,Indonesia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/951
Sharmeen Obaid-Chinoy,director,Pakistan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1166
Akin Omotoso,director,Nigeria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/854
Horace Ové,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/973
Laila Pakalnina,director,Latvia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1030
György Pálfi,director,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/964
David Panos,director,UK/Greece,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/929
Philippe Parreno,director,Algeria/France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1129
Pawel Pawlikowski,director,UK/Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1114
Babak Payami,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/892
Ron Peck,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1153
Edgar Pêra,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/933
